# newdoc
# newpar
# sent_id = 1
1	заслуженный	заслужить	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	2	amod	_	_
2	артист	артист	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	8	nsubj	_	_
3	республики	республика	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	2	nmod	_	_
4	любимец	любимец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	2	appos	_	_
5	публики	публика	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	4	nmod	_	_
6	анвар	анвар	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	4	appos	_	_
7	нургалиев	нургалий	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	6	appos	_	_
8	решил	решить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	0	root	_	_
9	музыкально	музыкально	ADV	_	Degree=Pos	10	advmod	_	_
10	поработить	поработить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	8	xcomp	_	_
11	наш	наш	DET	_	Case=Acc|Gender=Masc|Number=Sing	12	det	_	_
12	регион	регион	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	10	obj	_	_
13	и	и	CCONJ	_	_	14	cc	_	_
14	дать	дать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	10	conj	_	_
15	ряд	ряд	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	14	obj	_	_
16	концертов	концерт	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	15	nmod	_	_
17	по	по	ADP	_	_	19	case	_	_
18	всему	весь	DET	_	Case=Dat|Gender=Masc|Number=Sing	19	det	_	_
19	башкортостану	башкортостан	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	16	nmod	_	_
20	доброе	добрый	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	21	amod	_	_
21	утро	утро	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	19	nmod	_	_
22	анвар	анвар	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	24	nsubj	_	_
23	очень	очень	ADV	_	Degree=Pos	24	obl	_	_
24	рады	рад	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	8	conj	_	_
25	очень	очень	ADV	_	Degree=Pos	26	advmod	_	_
26	очень	очень	ADV	_	Degree=Pos	27	obl	_	_
27	рады	рад	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	24	obl	_	_
28	ну	ну	PART	_	_	29	discourse	_	_
29	чего	что	PRON	_	Case=Gen	43	obl	_	_
30	как	как	SCONJ	_	_	31	mark	_	_
31	там	там	ADV	_	Degree=Pos	35	advmod	_	_
32	как	как	SCONJ	_	_	35	mark	_	_
33	там	там	ADV	_	Degree=Pos	35	advmod	_	_
34	концерты	концерт	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	35	nsubj	_	_
35	проходят	проходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	27	advcl	_	_
36	концерт	концерт	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	35	obj	_	_
37	в	в	ADP	_	_	38	case	_	_
38	москве	москва	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	35	obl	_	_
39	же	же	PART	_	_	38	advmod	_	_
40	недавно	недавно	ADV	_	Degree=Pos	43	advmod	_	_
41	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	43	aux	_	_
42	правильно	правильно	ADV	_	Degree=Pos	43	advmod	_	_
43	говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	46	xcomp	_	_
44	ну/ну	ну/на	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	43	obj	_	_
45	пусть	пусть	PART	_	_	46	advmod	_	_
46	споют	споть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	35	conj	_	_
47	песню	песня	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	51	obj	_	_
48	анвара	анвар	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	47	nmod	_	_
49	нургалиева	нургалиев	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	48	nmod	_	_
50	кто	кто	PRON	_	Case=Nom	51	nsubj	_	_
51	споет	споть	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	46	xcomp	_	_
52	тот	тот	DET	_	Case=Acc|Gender=Masc|Number=Sing	53	det	_	_
53	получит	получить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	51	xcomp	_	_
54	билет	билет	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	53	obj	_	_
55	на	на	ADP	_	_	56	case	_	_
56	концерт	концерт	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	65	obl	_	_
57	который	который	PRON	_	Case=Nom	65	nsubj	_	_
58	в	в	ADP	_	_	59	case	_	_
